,n0,n1,n2,n3,n0_r,n1_r,n2_r,n3_r,period,mouse_id,classes
0,0,376,16,15,0.0,92.38329238329239,3.9312039312039313,3.6855036855036856,pre,33_1,"[1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 2 1 1 1 1 1 1 1 1 1 1 1 2 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 3
 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 2 1 1 1 1 3 1 2 1 1 1
 1 3 1 1 2 1 2 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 2 1 1 1 1 1 1 2 1 1
 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 3 1 1 1 2 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]"
1,103,298,1,5,25.307125307125304,73.21867321867322,0.2457002457002457,1.2285012285012284,early,33_1,"[1 1 0 1 1 1 1 0 1 1 1 1 0 1 1 0 0 1 1 1 1 1 1 0 1 0 1 1 1 1 2 1 1 0 0 0 1
 1 1 1 1 1 1 1 1 0 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 0 0 0 1 1 0 1 1 0 1 0 1 1 1 1 1 1 1
 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 3 1 1 0 0 0 1 1
 0 1 0 1 1 1 1 1 1 1 0 0 1 1 0 0 0 0 1 1 1 0 1 1 0 0 0 0 1 0 0 0 0 0 1 1 1
 0 1 1 1 1 0 1 0 0 1 0 0 0 0 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 3
 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 3 1 0 1 1 1 1 0 1 1 1 1
 1 0 1 0 1 1 1 3 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 0 0 0 1 1 1 1 1 1 1 1
 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 0 1 0 1 0 1 1 1 1
 0 0 0 1 1 0 1 1 0 1 0 0 1 1 1 0 1 1 1 1 1 0 1 1 0 1 1 1 0 0 0 1 0 0 0 1 1]"
2,85,317,2,3,20.884520884520885,77.88697788697789,0.4914004914004914,0.7371007371007371,late,33_1,"[1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 0 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 0 2 0 1 0 1 1 1 1
 0 0 0 1 1 1 1 1 1 1 0 0 1 1 0 0 0 0 0 1 1 1 1 1 0 1 0 0 1 1 0 0 0 0 1 1 1
 0 1 1 1 1 0 1 0 0 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3
 1 1 1 1 1 1 0 1 1 1 1 1 0 1 0 0 1 1 0 1 0 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 3 1 0 1 1 1 1 1 1 1 1 1
 1 0 1 0 1 1 3 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 0 0 0 1 0 1 1 1 1 1 1
 0 1 1 1 1 1 1 0 0 1 1 0 1 1 1 1 1 1 0 1 1 0 1 0 1 0 1 1 1 1 0 1 0 1 1 1 1
 1 1 0 0 1 1 1 1 0 1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 0 0 1 0 0 0 0 1 1]"
3,27,103,58,58,10.975609756097562,41.86991869918699,23.577235772357724,23.577235772357724,pre,41_1,"[2 2 3 2 2 3 3 2 0 3 2 1 1 1 2 1 0 3 3 2 3 1 3 1 1 1 1 1 1 1 1 3 2 2 1 3 1
 1 1 1 1 2 2 3 2 2 1 1 1 1 3 2 1 1 1 1 2 3 1 1 1 1 1 0 3 1 1 1 1 1 1 1 2 2
 1 1 1 3 1 1 1 3 0 1 2 2 3 3 3 3 1 3 0 3 2 1 3 1 3 1 3 2 1 2 2 3 2 3 2 3 2
 0 2 3 0 0 3 1 3 1 3 3 1 3 2 2 3 3 3 2 0 2 3 1 3 2 3 0 2 3 2 2 2 1 3 1 3 1
 2 3 1 2 1 1 1 0 2 2 1 2 1 1 2 1 3 2 2 1 1 3 2 3 2 3 1 3 2 2 3 2 3 0 2 0 0
 3 1 1 1 1 1 1 1 2 3 3 2 1 1 1 1 1 1 3 2 1 1 1 3 2 2 2 1 1 1 1 2 3 1 1 1 1
 1 1 3 1 1 1 0 0 1 1 0 0 1 0 0 1 1 0 0 0 0 0 0 0]"
4,50,191,5,0,20.32520325203252,77.64227642276423,2.0325203252032518,0.0,early,41_1,"[1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 1 1 1 2 1 1 1 1 0 1 1 0 1 1 1 1 1
 1 1 1 1 1 1 1 0 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 2
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 0 1 1 1 0 0 1 1 1 1 1 1 1 0 1
 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 0 1 1 0 1 1 0 0 0 1 1 1 0 1 1 0 0 1 1 1
 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 0 0 1 1 0 0 0 1 1 1
 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1]"
5,57,160,25,4,23.170731707317074,65.04065040650406,10.16260162601626,1.6260162601626018,late,41_1,"[1 0 0 0 0 0 0 0 0 0 0 0 1 2 1 1 0 1 1 0 1 1 2 2 0 1 1 2 1 1 1 1 1 1 1 1 1
 1 3 1 2 1 3 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 3 1 1 1 2 1 1 1 2 1 1 1 1 1 1 1 1 1 0 0 1 1 0 2 1 1 0 1 1 0 2 2 1 1 1 0 2
 1 0 1 1 2 1 1 1 1 1 1 1 1 0 0 1 0 0 1 1 0 2 2 0 0 0 1 1 1 0 1 1 1 0 1 1 1
 1 1 1 2 0 1 2 1 1 1 0 0 1 2 2 1 1 1 1 1 1 1 1 1 2 1 1 0 0 1 1 1 0 0 0 0 1
 1 1 2 1 1 1 1 1 1 0 0 1 2 0 2 1 1 1 0 1 1 1 0 3 1 1 2 1 1 1 1 0 1 1 1 0 1
 0 1 1 1 1 0 1 0 1 1 1 0 1 0 1 2 1 0 1 0 0 1 1 0]"
6,0,77,3,2,0.0,93.90243902439023,3.6585365853658534,2.4390243902439024,pre,63_1,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 3 2 1 1 1 1 1 1 1 1 1 1 2 3 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1]"
7,31,51,0,0,37.80487804878049,62.19512195121951,0.0,0.0,early,63_1,"[0 1 1 1 1 0 0 1 0 1 1 1 1 1 1 1 0 0 1 1 1 0 0 1 1 0 0 1 1 1 0 1 1 0 1 1 1
 1 0 0 1 1 0 0 0 1 0 1 0 1 1 0 0 0 0 0 1 1 1 1 0 1 0 1 1 1 1 1 1 0 0 1 0 1
 1 1 1 0 0 1 1 1]"
8,16,66,0,0,19.51219512195122,80.48780487804879,0.0,0.0,late,63_1,"[0 1 0 1 1 0 1 1 0 1 1 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1
 1 1 0 1 1 0 1 0 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
 1 1 1 1 1 1 1 1]"
9,18,268,32,32,5.142857142857142,76.57142857142857,9.142857142857142,9.142857142857142,pre,69_1,"[1 1 1 1 1 1 1 0 1 1 2 1 1 2 1 1 1 1 1 1 1 1 1 0 1 1 1 1 2 3 1 1 1 3 1 2 1
 1 3 2 3 1 3 3 1 1 1 2 1 3 1 1 1 1 1 1 1 1 1 1 2 1 1 1 3 1 1 2 1 1 3 1 2 1
 1 1 1 1 1 2 1 3 1 1 1 1 1 2 1 1 1 1 1 2 2 1 1 1 2 3 3 1 2 1 1 1 3 1 1 1 1
 1 1 1 2 3 1 1 1 1 3 1 1 3 1 1 1 1 1 1 1 3 1 3 1 3 1 1 3 1 1 2 1 1 1 1 1 1
 1 1 3 2 1 3 1 2 1 1 1 1 1 2 2 1 2 1 1 2 2 1 3 1 1 1 2 1 1 1 1 1 2 1 2 3 1
 1 1 2 1 1 1 3 1 1 3 1 1 1 1 3 1 2 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 3
 1 1 3 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 3 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 3 1 1 0 1 1 0 1 1 1 1 1
 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0]"
