,mouse_id,day,place_cell_ratio,rel_days,n_pcs
0,33,2020-08-18,2.2113,-8,9.0
1,33,2020-08-19,2.8571400000000002,-7,11.0
2,33,2020-08-20,1.8779299999999999,-6,8.0
3,33,2020-08-21,2.87958,-5,11.0
4,33,2020-08-24,2.59366,-2,9.0
5,33,2020-08-27,0.961538,1,3.0
6,33,2020-08-30,0.7915570000000001,4,3.0
7,33,2020-09-02,1.13636,7,4.0
8,33,2020-09-08,0.278552,13,1.0
9,33,2020-09-11,0.325733,16,1.0
10,41,2020-08-18,2.13252,-7,28.0
11,41,2020-08-19,7.43728,-6,84.0
12,41,2020-08-20,7.15649,-5,75.0
13,41,2020-08-21,7.19152,-4,96.0
14,41,2020-08-24,8.81435,-1,113.0
15,41,2020-08-26,4.53587,1,45.0
16,41,2020-08-27,1.25,2,11.0
17,41,2020-08-30,0.154083,5,2.0
18,41,2020-09-02,0.64433,8,5.0
19,41,2020-09-05,2.0618600000000002,11,18.0
20,41,2020-09-08,4.41989,14,41.0
21,41,2020-09-11,3.36134,17,33.0
22,63,2021-02-26,0.8695649999999999,-4,0.0
23,63,2021-02-27,1.9047600000000002,-3,2.0
24,63,2021-02-28,2.08333,-2,2.0
25,63,2021-03-01,0.884956,-1,0.0
26,63,2021-03-02,1.7857100000000001,0,1.0
27,63,2021-03-04,0.0,2,0.0
28,63,2021-03-05,2.77778,3,0.0
29,63,2021-03-06,1.13636,4,0.0
30,63,2021-03-07,0.0,5,0.0
31,63,2021-03-10,0.47619000000000006,8,1.0
32,63,2021-03-14,0.595238,12,0.0
33,63,2021-03-17,0.0,15,0.0
34,69,2021-02-28,1.6009900000000001,-8,13.0
35,69,2021-03-01,1.36364,-7,12.0
36,69,2021-03-02,3.36066,-6,41.0
37,69,2021-03-03,1.7673,-5,12.0
38,69,2021-03-04,2.24359,-4,21.0
39,69,2021-03-06,3.6630000000000003,-2,40.0
40,69,2021-03-07,4.7619,-1,45.0
41,69,2021-03-08,3.4798500000000003,0,39.0
42,69,2021-03-10,0.0,2,0.0
43,69,2021-03-11,3.6619699999999997,3,39.0
44,69,2021-03-14,5.9952,6,76.0
45,69,2021-03-17,3.1525900000000004,9,50.0
46,69,2021-03-20,6.19803,12,82.0
47,69,2021-03-23,3.00813,15,38.0
48,69,2021-03-31,3.44062,23,31.0
49,83,2021-07-08,2.12766,-13,12.0
50,83,2021-07-09,2.22222,-12,13.0
51,83,2021-07-10,0.917431,-11,5.0
52,83,2021-07-11,1.2797100000000001,-10,7.0
53,83,2021-07-14,2.25303,-7,13.0
54,83,2021-07-15,1.37405,-6,9.0
55,83,2021-07-18,0.736648,-3,4.0
56,83,2021-07-19,1.4285700000000001,-2,7.0
57,83,2021-07-20,0.18797,-1,1.0
58,83,2021-07-21,0.412371,0,2.0
59,83,2021-07-24,1.81543,3,12.0
60,83,2021-07-27,1.49813,6,8.0
61,83,2021-07-30,1.40351,9,8.0
62,83,2021-08-02,2.1767000000000003,12,17.0
63,83,2021-08-05,6.69516,15,49.0
64,83,2021-08-08,3.8216600000000005,18,24.0
65,83,2021-08-11,3.9408899999999996,21,24.0
66,83,2021-08-15,2.29358,25,15.0
67,83,2021-08-17,6.2893099999999995,27,40.0
68,85,2021-07-08,5.95903,-8,32.0
69,85,2021-07-09,8.73362,-7,62.0
70,85,2021-07-10,11.9449,-6,78.0
71,85,2021-07-11,7.80142,-5,33.0
72,85,2021-07-14,8.77863,-2,47.0
73,85,2021-07-15,5.41761,-1,24.0
74,85,2021-07-16,2.83019,0,12.0
75,85,2021-07-19,7.35069,3,48.0
76,85,2021-07-21,11.627899999999999,5,80.0
77,85,2021-07-24,7.00549,8,51.0
78,85,2021-07-27,6.66667,11,41.0
79,85,2021-07-30,8.414240000000001,14,52.0
80,85,2021-08-02,0.0,17,0.0
81,85,2021-08-05,11.444899999999999,20,83.0
82,85,2021-08-08,14.3236,23,108.0
83,85,2021-08-11,14.414399999999999,26,64.0
84,86,2021-07-08,4.10557,-8,28.0
85,86,2021-07-09,6.08021,-7,48.0
86,86,2021-07-10,5.534590000000001,-6,44.0
87,86,2021-07-11,3.6069700000000005,-5,29.0
88,86,2021-07-14,3.06834,-2,23.0
89,86,2021-07-15,2.10136,-1,18.0
90,86,2021-07-16,2.75482,0,20.0
91,86,2021-07-19,3.1847100000000004,3,25.0
92,86,2021-07-21,2.68362,5,19.0
93,86,2021-07-24,3.33817,8,23.0
94,86,2021-07-27,0.0,11,0.0
95,86,2021-07-30,4.50205,14,33.0
96,86,2021-08-02,4.23729,17,30.0
97,86,2021-08-05,4.48808,20,32.0
98,86,2021-08-08,4.2641,23,31.0
99,86,2021-08-11,3.19285,26,25.0
100,89,2021-07-08,1.22699,-13,2.0
101,89,2021-07-09,1.17647,-12,2.0
102,89,2021-07-10,1.79641,-11,3.0
103,89,2021-07-11,0.0,-10,0.0
104,89,2021-07-14,0.666667,-7,1.0
105,89,2021-07-15,0.0,-6,0.0
106,89,2021-07-18,2.67857,-3,3.0
107,89,2021-07-19,0.833333,-2,1.0
108,89,2021-07-20,1.1494300000000002,-1,1.0
109,89,2021-07-21,0.854701,0,1.0
110,89,2021-07-24,0.645161,3,1.0
111,89,2021-07-27,0.0,6,0.0
112,89,2021-07-30,0.0,9,0.0
113,89,2021-08-02,1.0101,12,2.0
114,89,2021-08-05,1.875,15,3.0
115,89,2021-08-08,2.40964,18,4.0
116,89,2021-08-11,0.0,21,0.0
117,89,2021-08-15,2.7027,25,5.0
118,89,2021-08-17,0.502513,27,1.0
119,90,2021-07-08,1.95059,-8,15.0
120,90,2021-07-09,1.1251799999999998,-7,8.0
121,90,2021-07-10,2.14876,-6,13.0
122,90,2021-07-11,1.30378,-5,10.0
123,90,2021-07-14,1.5361,-2,10.0
124,90,2021-07-15,1.4164299999999999,-1,10.0
125,90,2021-07-16,0.625,0,3.0
126,90,2021-07-19,0.591716,3,5.0
127,90,2021-07-21,2.7451,5,21.0
128,90,2021-07-24,1.32802,8,10.0
129,90,2021-07-27,1.7075799999999999,11,16.0
130,90,2021-07-30,1.3961599999999998,14,8.0
131,90,2021-08-02,4.46549,17,33.0
132,90,2021-08-05,3.01659,20,20.0
133,90,2021-08-08,5.58442,23,43.0
134,90,2021-08-11,1.47256,26,11.0
135,91,2021-07-08,6.4327499999999995,-13,77.0
136,91,2021-07-09,8.82353,-12,108.0
137,91,2021-07-10,6.21172,-11,71.0
138,91,2021-07-18,2.95858,-3,35.0
139,91,2021-07-19,4.4684099999999995,-2,59.0
140,91,2021-07-20,2.78527,-1,32.0
141,91,2021-07-21,3.8817,0,42.0
142,91,2021-07-24,4.5918399999999995,3,54.0
143,91,2021-07-27,2.7156599999999997,6,34.0
144,91,2021-07-30,4.23588,9,51.0
145,91,2021-08-02,4.7047,12,48.0
146,91,2021-08-08,4.18182,18,70.0
147,91,2021-08-11,4.68998,21,59.0
148,91,2021-08-15,4.5679,25,74.0
149,91,2021-08-17,3.75587,27,48.0
150,93,2021-07-08,3.2798800000000004,-13,45.0
151,93,2021-07-09,6.25,-12,80.0
