,mouse_id,days,rel_days,rel_sess,metric,perf,perf_norm
0,33,2020-08-11,-15,-8,blr,0.45812907814979553,0.5743993452486749
1,33,2020-08-12,-14,-7,blr,0.6849568486213684,0.858794571522627
2,33,2020-08-13,-13,-6,blr,0.7678887248039246,0.9627740341925969
3,33,2020-08-14,-12,-5,blr,0.9483696222305298,1.1890598437081386
4,33,2020-08-18,-8,-4,blr,0.7893237471580505,0.989649129865033
5,33,2020-08-19,-7,-3,blr,0.823519766330719,1.0325238827670293
6,33,2020-08-20,-6,-2,blr,0.9393869638442993,1.1777974433460374
7,33,2020-08-21,-5,-1,blr,0.7428270578384399,0.931351874407516
8,33,2020-08-24,-2,0,blr,0.7105241417884827,0.8908506822464467
9,33,2020-08-27,1,1,blr,0.6406522393226624,0.8032457321530505
10,33,2020-08-30,4,2,blr,0.6623103618621826,0.8304005494291291
11,33,2020-09-02,7,3,blr,0.7877876162528992,0.9877231386363192
12,33,2020-09-08,13,4,blr,0.44185152649879456,0.5539906537760735
13,33,2020-09-11,16,5,blr,0.5554717183113098,0.6964469327961935
14,33,2020-08-11,-15,-8,dist,4.432025909423828,3.601379214301574
15,33,2020-08-12,-14,-7,dist,2.15081524848938,1.7477112020582726
16,33,2020-08-13,-13,-6,dist,1.8414539098739624,1.4963301141839658
17,33,2020-08-14,-12,-5,dist,0.5014854669570923,0.40749746817440863
18,33,2020-08-18,-8,-4,dist,1.7631734609603882,1.4327209234064253
19,33,2020-08-19,-7,-3,dist,0.9422268867492676,0.7656354891517394
20,33,2020-08-20,-6,-2,dist,0.248149573802948,0.20164158229118104
21,33,2020-08-21,-5,-1,dist,2.130871534347534,1.7315053226175197
22,33,2020-08-24,-2,0,dist,1.3129193782806396,1.066853095091299
23,33,2020-08-27,1,1,dist,3.863682270050049,3.1395540780655518
24,33,2020-08-30,4,2,dist,2.4308981895446777,1.9753012258557945
25,33,2020-09-02,7,3,dist,0.9868337512016296,0.8018821713095133
26,33,2020-09-08,13,4,dist,5.6778106689453125,4.613680006337696
27,33,2020-09-11,16,5,dist,1.6024094820022583,1.3020871987711171
28,33,2020-08-11,-15,-8,si,0.908566,1.215228509227353
29,33,2020-08-12,-14,-7,si,0.862811,1.154030114790738
30,33,2020-08-13,-13,-6,si,0.927847,1.24101730265173
31,33,2020-08-14,-12,-5,si,1.1731,1.5690489894785935
32,33,2020-08-18,-8,-4,si,0.946189,1.2655501613722282
33,33,2020-08-19,-7,-3,si,0.963224,1.2883348766870075
34,33,2020-08-20,-6,-2,si,0.977877,1.3079336106762922
35,33,2020-08-21,-5,-1,si,0.465343,0.6224072661417928
36,33,2020-08-24,-2,0,si,0.799731,1.0696591231819155
37,33,2020-08-27,1,1,si,0.447599,0.5986742465617841
38,33,2020-08-30,4,2,si,0.723207,0.9673064636721892
39,33,2020-09-02,7,3,si,1.01783,1.3613716929170547
40,33,2020-09-08,13,4,si,0.540239,0.722582437155337
41,33,2020-09-11,16,5,si,0.616503,0.8245873405170244
42,33,2020-08-11,-15,-8,si_norm,-3.74123,0.5506365070705563
43,33,2020-08-12,-14,-7,si_norm,-6.763,0.9953824537166047
44,33,2020-08-13,-13,-6,si_norm,-6.64788,0.9784390220927904
45,33,2020-08-14,-12,-5,si_norm,-6.90689,1.0165602714402897
46,33,2020-08-18,-8,-4,si_norm,-6.90689,1.0165602714402897
47,33,2020-08-19,-7,-3,si_norm,-6.90689,1.0165602714402897
48,33,2020-08-20,-6,-2,si_norm,-6.81601,1.0031844977608924
49,33,2020-08-21,-5,-1,si_norm,-6.66022,0.9802552307988178
50,33,2020-08-24,-2,0,si_norm,-6.90689,1.0165602714402897
51,33,2020-08-27,1,1,si_norm,-6.23122,0.9171147498518382
52,33,2020-08-30,4,2,si_norm,-6.42725,0.9459665644906177
53,33,2020-09-02,7,3,si_norm,-6.63425,0.9764329504020973
54,33,2020-09-08,13,4,si_norm,-4.22088,0.6212316858263112
55,33,2020-09-11,16,5,si_norm,-4.83482,0.711591748466378
