spheres,spheres_rel,spheres_lesion,spheres_lesion_rel,lesion_vol,lesion_vol_rel,spheres_extrap,spheres_rel_extrap,spheres_lesion_extrap,spheres_lesion_rel_extrap,region,mouse_id
1.0,0.09090909090909091,0.0,0.0,0.0,0.0,5.240321126878655,0.4763928297162414,0.0,0.0,basal_ganglia,33
33.0,0.07415730337078652,27.0,0.09747292418772563,0.08748244,0.023487040305955803,241.7281364225701,0.5432092953316182,197.77756616392097,0.7139984338047689,basal_ganglia,41
2.0,0.09090909090909091,0.0,0.0,0.001381,0.0006390412068207585,9.62186086789185,0.4373573121769023,0.0,0.0,basal_ganglia,83
28.0,0.12556053811659193,23.0,0.19827586206896552,0.03584060000000001,0.011210174765165854,154.08829259165503,0.6909788905455383,126.57252605743092,1.0911424660123354,basal_ganglia,85
15.0,0.1764705882352941,10.0,0.4347826086956522,0.0073487,0.0019741878213427686,70.93774975999395,0.8345617618822816,47.291833173329294,2.0561666597099695,basal_ganglia,86
4.0,0.125,1.0,0.14285714285714285,0.0,0.0,18.423161598761965,0.5757237999613114,4.605790399690491,0.6579700570986415,basal_ganglia,89
62.0,0.13449023861171366,52.0,0.21757322175732216,0.1221119,0.0537230106871314,279.9653204248248,0.6073000443054768,234.80962358211113,0.9824670442766156,basal_ganglia,90
1.0,0.14285714285714285,1.0,0.25,0.0,0.0,4.323520383236847,0.6176457690338352,4.323520383236847,1.0808800958092117,basal_ganglia,91
3.0,0.07894736842105263,0.0,0.0,0.0,0.0,12.95085151848734,0.3408118820654563,0.0,0.0,basal_ganglia,93
1.0,0.0625,0.0,0.0,0.0,0.0,4.453251987263699,0.2783282492039812,0.0,0.0,basal_ganglia,95
2.0,0.1111111111111111,,,,,6.17955309472019,0.3433085052622328,,,basal_ganglia,108
2.0,0.16666666666666666,,,,,6.492705445432057,0.5410587871193381,,,basal_ganglia,111
8.0,0.1111111111111111,,,,,24.905204565123995,0.3459056189600555,,,basal_ganglia,112
8.0,0.10256410256410255,,,,,25.580436082484116,0.3279543087497963,,,basal_ganglia,113
2.0,0.022222222222222223,,,,,7.179446680044369,0.07977162977827076,,,basal_ganglia,114
2.0,0.16666666666666666,,,,,6.859086918349429,0.571590576529119,,,basal_ganglia,115
2.0,0.07407407407407407,,,,,6.281959468797507,0.2326651655110188,,,basal_ganglia,116
6.0,0.06976744186046512,,,,,17.863256769430013,0.20771228801662805,,,basal_ganglia,121
0.0,0.0,,,,,0.0,0.0,,,basal_ganglia,110
0.0,0.0,,,,,0.0,0.0,,,basal_ganglia,122
39.0,0.08764044943820225,17.0,0.061371841155234655,0.032345320000000004,0.0019520056969397057,285.6787066812192,0.6419746217555488,124.52661573283913,0.4495545694326322,brainstem,41
17.0,0.07623318385650224,5.0,0.04310344827586207,0.0034235000000000003,0.0002066045877262331,93.55360621636198,0.41952289783121965,27.515766534224113,0.2372048839157251,brainstem,85
7.0,0.08235294117647059,0.0,0.0,0.0,0.0,33.104283221330505,0.3894621555450648,0.0,0.0,brainstem,86
1.0,0.03125,0.0,0.0,0.0,0.0,4.605790399690491,0.14393094999032785,0.0,0.0,brainstem,89
22.0,0.047722342733188726,8.0,0.03347280334728033,0.003437,0.00020741929838325197,99.3425330539701,0.215493564108395,36.12455747417094,0.15114877604255625,brainstem,90
